2015/06/05	代码	名称	最新	市盈率	涨幅	总额	换手率	销售毛利率	每股净资产	净利润同比	主营收入同比	连涨日子	连涨涨幅	连涨上市	涨停降幅	涨停位置	小幅个数	备忘	报告期	主营收入同比	A股	行业	市盈率	净利润同比	主营收入同比	400组振幅	外盘	30组涨幅	30日子	量比	均价	委比	委差	成交笔数	成交方向	总市值	流通市值
45	'600062'	华润双鹤		27.57①				52.591	10.231	10.140	3.270	1974.000							20150331一季报	3.270	57170	生物医药	27.57①	10.140	3.270						31.92					1824853	1824853
46	'600063'	皖维高新		214.63①				20.287	2.520	19.080	-11.130								20150331一季报	-11.130	149785	石油化工	214.63①	19.080	-11.130						10.56					1738065	1581733
47	'600064'	南京高科		14.57①				26.497	10.836	446.970	-24.470	1947.000							20150331一季报	-24.470	77433	房地产	14.57①	446.970	-24.470						26.88					2081394	2081394
48	'600066'	宇通客车		35.16①				22.939	4.379	5.190	-3.400	2003.000							20150331一季报	-3.400	186730	机械仪表	35.16①	5.190	-3.400						23.71					5254132	4427361
49	'600067'	冠城大通		76.20①				25.071	4.879	-21.630	-13.920	2699.000							20150331一季报	-13.920	148290	房地产	76.20①	-21.630	-13.920						13.32					1975229	1975229
50	'600068'	葛洲坝  		29.95①				15.636	4.614	0.990	10.420	1914.000							20150331一季报	10.420	414858	建筑业	29.95①	0.990	10.420						13.30					6124354	5517607
51	'600070'	浙江富润		1535.62①				13.998	3.690	-2.490	-17.860	2013.000							20150331一季报	-17.860	27432	纺织服装	1535.62①	-2.490	-17.860						24.57					673999	673999
52	'600072'	钢构工程		1330.71①				4.805	2.381	114.160	65.240	1568.000							20150331一季报	65.240	47843	机械仪表	1330.71①	114.160	65.240						37.26					1782629	1782629
53	'600073'	上海梅林		85.10①				16.620	3.320	13.510	-7.530	2687.000							20150331一季报	-7.530	82274	食品饮料	85.10①	13.510	-7.530						16.34					1532250	1344349
54	'600074'	保千里  		117.13①				46.657	0.504	9.490	28.010	59.000							20150331一季报	28.010	89598	石油化工	117.13①	9.490	28.010						18.74					4227656	1679069
55	'600075'	新疆天业		58.29①				10.742	3.570	139.020	-37.720								20150331一季报	-37.720	43859	石油化工	58.29①	139.020	-37.720						13.99					613590	613590
56	'600076'	青鸟华光		-341.75①				1.161	0.333	-10.300	-45.980	1.000							20150331一季报	-45.980	36554	信息技术	-341.75①	-10.300	-45.980						13.67					499688	499688
57	'600077'	宋都股份		525.50①				15.263	2.796	147.190	487.750	1453.000							20150331一季报	487.750	109096	房地产	525.50①	147.190	487.750						10.51					1408469	1146604
58	'600078'	澄星股份		295.18①				14.136	2.691	-21.700	6.670	2159.000							20150331一季报	6.670	66257	石油化工	295.18①	-21.700	6.670						13.46					891823	891823
59	'600079'	人福医药		43.88①				38.178	11.461	45.730	32.810	1881.000							20150331一季报	32.810	50592	生物医药	43.88①	45.730	32.810						45.63					2934121	2308516
60	'600080'	金花股份		491.03①				33.120	3.348	-39.430	87.460	4226.000							20150331一季报	87.460	30530	生物医药	491.03①	-39.430	87.460						15.32					467713	467713
61	'600081'	东风科技		28.22①				16.575	3.367	-3.600	-4.370	1907.000							20150331一季报	-4.370	31356	机械仪表	28.22①	-3.600	-4.370						24.12					756307	756307
62	'600082'	海泰发展		-228.00①				7.725	2.696	-149.240	32.460	683.000							20150331一季报	32.460	62999	综合类	-228.00①	-149.240	32.460						9.12					589258	574550
63	'600083'	博信股份		643.50①				28.546	0.175	168.060	487.080	0.000							20150331一季报	487.080	22692	商业贸易	643.50①	168.060	487.080						12.87					296010	292050
64	'600084'	中葡股份		-46.30①				48.807	2.120	-114.720	-27.930								20150331一季报	-27.930	80992	食品饮料	-46.30①	-114.720	-27.930						8.52					957415	690051
65	'600085'	同仁堂  		68.86				46.400	4.783	16.410	11.140	3817.000							20141231年报	11.140	137147	生物医药	68.86	16.410	11.140						38.34					5258217	5258217
66	'600086'	东方金钰		18.73①				16.266	5.836	309.410	11.500	1075.000							20150331一季报	11.500	35228	其他制造	18.73①	309.410	11.500						33.00					1485000	1162530
67	'600088'	中视传媒		471.85①				28.337	3.464	8.760	-31.120	388.000							20150331一季报	-31.120	33142	文化传播	471.85①	8.760	-31.120						50.96					1688927	1688927
68	'600089'	特变电工		25.01①				19.267	6.186	25.610	9.400	2085.000							20150331一季报	9.400	316591	机械仪表	25.01①	25.610	9.400						16.96					5495267	5369389
69	'600090'	啤酒花  		189.39①				33.415	1.261	149.890	6.210	24.000							20150331一季报	6.210	36792	食品饮料	189.39①	149.890	6.210						25.00					919792	919792
70	'600093'	禾嘉股份		171.67①				22.622	1.463	-1.560	-3.700	161.000							20150331一季报	-3.700	32245	机械仪表	171.67①	-1.560	-3.700						26.78					863514	863514
71	'600094'	大名城  		525.46①				40.787	2.727	-61.760	21.300	588.000							20150331一季报	21.300	131284	房地产	525.46①	-61.760	21.300						22.91					4608477	3007709
72	'600095'	哈高科  		-576.92①				39.495	1.971	78.550	-2.440	55.000							20150331一季报	-2.440	36126	综合类	-576.92①	78.550	-2.440						15.00					541895	541895
73	'600096'	云天化  		175.88①				16.116	4.926	105.970	28.100	1932.000							20150331一季报	28.100	52126	石油化工	175.88①	105.970	28.100						18.08					2041373	942445
74	'600097'	开创国际		-19.47①				-49.174	4.274	-106.590	-47.030	1678.000							20150331一季报	-47.030	20260	农牧业	-19.47①	-106.590	-47.030						20.25					410261	410261
75	'600098'	广州发展		27.54				17.668	5.099	18.260	15.100	3629.000							20141231年报	15.100	243737	供水供电	27.54	18.260	15.100						12.33					3361400	3005283
76	'600099'	林海股份		1285.58①				13.505	2.146	14.200	11.570	1936.000							20150331一季报	11.570	21912	机械仪表	1285.58①	14.200	11.570						13.37					292963	292963
77	'600100'	同方股份		105.82①				19.835	5.703	1113.470	13.780								20150331一季报	13.780	207020	信息技术	105.82①	1113.470	13.780						26.71					7916575	5529508
78	'600101'	明星电力		43.90①				18.054	5.709	6.170	6.640	1994.000							20150331一季报	6.640	32418	供水供电	43.90①	6.170	6.640						15.10					489510	489510
79	'600103'	青山纸业		-56.92①				9.900	1.122	-677.260	18.760	140.000							20150331一季报	18.760	106184	造纸印刷	-56.92①	-677.260	18.760						11.27					1196696	1196696
80	'600104'	上汽集团		9.52①				10.653		6.980		1470.000							20150331一季报		1102557	机械仪表	9.52①	6.980							25.79					28434936	28434936
81	'600105'	永鼎股份		121.33①				21.987	4.498	6.830	-14.220								20150331一季报	-14.220	38095	机械仪表	121.33①	6.830	-14.220						21.84					832005	832005
82	'600106'	重庆路桥		62.47①				90.967	3.342	-21.560	-5.930	1693.000							20150331一季报	-5.930	90774	建筑业	62.47①	-21.560	-5.930						10.87					986716	986716
83	'600107'	美尔雅  		-367.88①				41.228	1.443	43.160	-2.380	1986.000							20150331一季报	-2.380	36000	纺织服装	-367.88①	43.160	-2.380						19.13					688680	688680
84	'600108'	亚盛集团		202.85①				23.153	2.430	-46.150	-12.350	2132.000							20150331一季报	-12.350	194692	农牧业	202.85①	-46.150	-12.350						12.09					2353821	2353821
85	'600109'	国金证券		58.89①				45.988	4.879	78.290	64.540	1692.000							20150331一季报	64.540	283686	金融保险	58.89①	78.290	64.540						29.68					8976299	8419799
86	'600110'	中科英华		432.26①				11.517	1.565	178.220	-33.930	531.000							20150331一季报	-33.930	115031	机械仪表	432.26①	178.220	-33.930						10.72					1233135	1233135
87	'600111'	北方稀土		291.63①				26.685	2.223	9.230	56.000	1616.000							20150331一季报	56.000	221920	金属材料	291.63①	9.230	56.000						24.38					8857414	5410421
88	'600112'	天成控股		725.22①				46.542	2.501	-83.870	-23.930	58.000							20150331一季报	-23.930	50920	机械仪表	725.22①	-83.870	-23.930						33.36					1698707	1698707
89	'600113'	浙江东日		811.67①				23.584	1.850	53.080	-36.110	104.000							20150331一季报	-36.110	31860	房地产	811.67①	53.080	-36.110						19.48					620633	620633
90	'600114'	东睦股份		71.53①				30.609		29.490	13.070								20150331一季报	13.070	23948	金属材料	71.53①	29.490	13.070						22.89					863446	548176
91	'600115'	东方航空		16.88①				17.849		862.930		1518.000							20150331一季报		778221	交通仓储	16.88①	862.930							8.33					10557666	6482584
92	'600116'	三峡水利		36.43①				32.262	6.141	1175.340	4.060	1033.000							20150331一季报	4.060	26753	供水供电	36.43①	1175.340	4.060						21.86					723570	584828
93	'600117'	西宁特钢		-26.55①				15.390	3.529	10.890	-12.100	157.000							20150331一季报	-12.100	74122	金属材料	-26.55①	10.890	-12.100						11.68					865744	865744
94	'600118'	中国卫星		378.25①				13.217	3.612	18.150	-3.120								20150331一季报	-3.120	118249	信息技术	378.25①	18.150	-3.120						75.65					8945531	8945531
95	'600119'	长江投资		241.94①				9.193	2.536	2.330	70.450	56.000							20150331一季报	70.450	30740	交通仓储	241.94①	2.330	70.450						38.71					1189945	1189945
96	'600120'	浙江东方		50.87①				12.748	9.165	-32.080	-12.870	754.000							20150331一季报	-12.870	50547	商业贸易	50.87①	-32.080	-12.870						38.66					1954160	1954160
97	'600121'	郑州煤电		90.23①				3.983	4.112	1213.900	-14.430	3472.000							20150331一季报	-14.430	69834	采掘业	90.23①	1213.900	-14.430						8.77					890456	612448
98	'600122'	宏图高科		41.47①				8.564	7.559	147.050	7.410	1795.000							20150331一季报	7.410	114027	商业贸易	41.47①	147.050	7.410						20.27					2323648	2311334
99	'600123'	兰花科创		352.00①				37.100	8.390	116.640	-13.610	1616.000							20150331一季报	-13.610	114240	采掘业	352.00①	116.640	-13.610						10.56					1206375	1206375
100	'600125'	铁龙物流		69.53①				10.103	3.566	-17.530	114.490	55.000							20150331一季报	114.490	130552	交通仓储	69.53①	-17.530	114.490						16.13					2105807	2105807
101	'600126'	杭钢股份		-45.93①				2.082	3.870	-283.700	-26.690	39.000							20150331一季报	-26.690	83894	金属材料	-45.93①	-283.700	-26.690						12.86					1078875	1078875
102	'600127'	金健米业		604.55①				12.539	1.416	-21.620	21.330	3600.000							20150331一季报	21.330	54446	食品饮料	604.55①	-21.620	21.330						7.98					512143	434479
103	'600128'	弘业股份		255.78①				8.166	6.084	37.380	10.530	1800.000							20150331一季报	10.530	24677	商业贸易	255.78①	37.380	10.530						19.03					469599	469599
104	'600129'	太极集团		202.50①				28.632	2.414	210.330	4.650	22.000							20150331一季报	4.650	42689	生物医药	202.50①	210.330	4.650						38.88					1659764	1659764
105	'600130'	波导股份		297.50①				10.466	1.181	-35.790	-12.920	8.000							20150331一季报	-12.920	76800	信息技术	297.50①	-35.790	-12.920						14.28					1096704	1096704
106	'600131'	岷江水电		30.00				13.442	1.598	196.330	7.520	954.000							20141231年报	7.520	39737	供水供电	30.00	196.330	7.520						9.30					468836	369551
107	'600132'	重庆啤酒		156.20①				36.114	2.684	-14.820	5.980	55.000							20150331一季报	5.980	48397	食品饮料	156.20①	-14.820	5.980						28.49					1378834	1378834
108	'600133'	东湖高新		29.03				14.929	2.392	163.740	46.930	1943.000							20141231年报	46.930	53795	综合类	29.03	163.740	46.930						13.53					858151	727845
109	'600135'	乐凯胶片		2194.83①				15.856	4.247	-89.620	7.600	3781.000							20150331一季报	7.600	34200	石油化工	2194.83①	-89.620	7.600						25.46					949637	870732
110	'600136'	道博股份		5258.33①				19.452	4.939	113.830	475.620	438.000							20150331一季报	475.620	10429	商业贸易	5258.33①	113.830	475.620						25.24					413983	263238
111	'600137'	浪莎股份		2646.87①				9.246	4.750	-86.540	-51.530	1946.000							20150331一季报	-51.530	9722	纺织服装	2646.87①	-86.540	-51.530						42.35					411716	411716
112	'600138'	中青旅  		79.37①				20.276	6.194	3.840	2.520	2389.000							20150331一季报	2.520	70272	社会服务	79.37①	3.840	2.520						29.78					2155596	2092695
