2015/06/05	代码	名称	最新	市盈率	涨幅	总额	换手率	销售毛利率	每股净资产	净利润同比	主营收入同比	连涨日子	连涨涨幅	连涨上市	涨停降幅	涨停位置	小幅个数	备忘	报告期	主营收入同比	A股	行业	市盈率	净利润同比	主营收入同比	400组振幅	外盘	30组涨幅	30日子	量比	均价	委比	委差	成交笔数	成交方向	总市值	流通市值
1282	'000711'	*ST京蓝 		-50.03①				71.767	1.487	-135.500	-18.820	179.000							20150331一季报	-18.820	16090	房地产	-50.03①	-135.500	-18.820						18.01					289778	289778
1283	'000712'	锦龙股份		51.81①				94.013	3.111	-5.950	265.430	497.000							20150331一季报	265.430	59200	供水供电	51.81①	-5.950	265.430						45.59					4084864	2698910
1284	'000713'	丰乐种业		88.04				35.408	4.499	9.320	-18.600	4223.000							20141231年报	-18.600	29887	农牧业	88.04	9.320	-18.600						17.96					536781	536777
1285	'000715'	中兴商业		37.53				18.781	3.936	65.910	-9.920	1944.000							20141231年报	-9.920	27811	商业贸易	37.53	65.910	-9.920						11.26					314161	313147
1286	'000716'	黑芝麻  	23.75	61.85①	1.50%	19752	4.84%	22.963	5.940	10.520	19.700	1863.000							20150331一季报	19.700	17126	食品饮料	61.85①	10.520	19.700		43547			1.06	23.81	-21.46%	-212	6739	-	756538	406750
1287	'000717'	韶钢松山		-8.39①				-7.953	1.036	-37.080	-48.140	2.000							20150331一季报	-48.140	166952	金属材料	-8.39①	-37.080	-48.140						5.98					1446876	998376
1288	'000718'	苏宁环球		319.75①				41.693	2.395	-17.480	26.060	1699.000							20150331一季报	26.060	146980	房地产	319.75①	-17.480	26.060						12.79					2613243	1879879
1289	'000719'	大地传媒		41.37①				28.901	7.176	194.200	11.520	0.000							20150331一季报	11.520	10651	文化传播	41.37①	194.200	11.520						16.55					1302617	176267
1290	'000720'	新能泰山		60.56①				20.369	1.034	330.730	0.660	60.000							20150331一季报	0.660	86346	供水供电	60.56①	330.730	0.660						8.89					767616	767615
1291	'000721'	西安饮食		-370.90①				36.325	1.381	-155.280	-7.050	37.000							20150331一季报	-7.050	43562	社会服务	-370.90①	-155.280	-7.050						9.05					451646	394240
1292	'000722'	湖南发展		81.95①				52.684	5.331	-41.580	-17.840	0.000							20150331一季报	-17.840	26813	供水供电	81.95①	-41.580	-17.840						16.39					760755	439461
1293	'000723'	美锦能源		-107.44①				15.824	1.608	-250.480	-16.580	0.000							20150331一季报	-16.580	19486	石油化工	-107.44①	-250.480	-16.580						18.48					515959	360109
1294	'000725'	京东方Ａ		45.54①				24.890	2.185	66.450	43.150	1434.000							20150331一季报	43.150	2335331	电子	45.54①	66.450	43.150						5.10					17997714	11910188
1295	'000726'	鲁  泰Ａ	19.39	30.30①	7.42%	97467	9.12%	26.906	7.054	-28.570	-6.320	1894.000							20150331一季报	-6.320	56064	纺织服装	30.30①	-28.570	-6.320		248188			1.19	19.07	14.23%	634	32793	-	1853216	1087088
1296	'000727'	华东科技		-875.00①				7.418	4.742	0.650	-9.990	1890.000							20150331一季报	-9.990	35814	电子	-875.00①	0.650	-9.990						11.55					2615825	413656
1297	'000728'	国元证券		23.59①				64.855	9.093	95.370	85.350	1820.000							20150331一季报	85.350	196410	金融保险	23.59①	95.370	85.350						34.92					6858637	6858637
1298	'000729'	燕京啤酒	12.78	169.95①	1.43%	115579	3.64%	31.771	4.386	5.210	4.220	2179.000							20150331一季报	4.220	250849	食品饮料	169.95①	5.210	4.220		454458			1.11	12.67	-14.09%	-2487	49322	-	3601007	3205850
1299	'000731'	四川美丰		121.79①				11.031	4.533	927.960	-14.650	1966.000							20150331一季报	-14.650	59135	石油化工	121.79①	927.960	-14.650						14.42					852920	852723
1300	'000732'	泰禾集团		35.14①				48.765	5.099	36.240	8.300	1114.000							20150331一季报	8.300	101577	房地产	35.14①	36.240	8.300						32.95					3351602	3346972
1301	'000733'	振华科技		166.00①				28.531	7.173	7.550	-7.500	3662.000							20150331一季报	-7.500	42916	电子	166.00①	7.550	-7.500						33.20					1558216	1424808
1302	'000735'	罗 牛 山		140.00①				15.760	1.905	174.110	-45.620	1272.000							20150331一季报	-45.620	88008	农牧业	140.00①	174.110	-45.620						10.08					887173	887123
1303	'000736'	中房地产		367.86①				44.542	5.649	-92.320	39.760	211.000							20150331一季报	39.760	13873	房地产	367.86①	-92.320	39.760						20.60					612219	285791
1304	'000737'	南风化工		-17.41①				19.641	0.573	2.650	-17.080	1655.000							20150331一季报	-17.080	54873	石油化工	-17.41①	2.650	-17.080						6.86					376449	376427
1305	'000738'	中航动控	42.19	538.14①	0.48%	99902	2.03%	24.509	4.007	-17.250	-20.610	2204.000							20150331一季报	-20.610	114564	机械仪表	538.14①	-17.250	-20.610		108918			0.72	42.87	57.32%	2407	27182	-	4833465	4833465
1306	'000739'	普洛药业		62.08①				24.017	2.053	-62.820	4.920	1940.000							20150331一季报	4.920	75394	生物医药	62.08①	-62.820	4.920						10.43					1196185	786362
1307	'000748'	长城信息		-2958.87①				17.976	2.915	-163.290	34.080	1703.000							20150331一季报	34.080	75112	信息技术	-2958.87①	-163.290	34.080						36.69					2989569	2755875
1308	'000750'	国海证券		30.13①				55.901	2.964	246.170	121.000	907.000							20150331一季报	121.000	201821	金融保险	30.13①	246.170	121.000						21.69					5011174	4377495
1309	'000751'	锌业股份	11.43	285.75①	3.07%	289229	17.79%	11.869	1.382	-18.140	5.480	200.000							20150331一季报	5.480	140984	金属材料	285.75①	-18.140	5.480		1333014			1.30	11.53	10.48%	3503	138269	-	1611481	1611449
1310	'000752'	西藏发展	27.65	277.61①	1.17%	63798	8.71%	25.069	2.967	5.980	10.040	991.000							20150331一季报	10.040	26375	食品饮料	277.61①	5.980	10.040		105308			0.72	27.76	17.36%	255	18688	-	729292	729269
1311	'000753'	漳州发展		976.56①				11.349	1.657	-80.970	-9.100	210.000							20150331一季报	-9.100	69903	商业贸易	976.56①	-80.970	-9.100						12.50					1105183	873786
1312	'000755'	山西三维		-14.18①				1.148	3.469	-40.350	6.820	18.000							20150331一季报	6.820	46926	石油化工	-14.18①	-40.350	6.820						11.40					534962	534952
1313	'000756'	新华制药		121.92①				23.025	4.021	341.840	6.760	36.000							20150331一季报	6.760	30731	生物医药	121.92①	341.840	6.760						14.63					669049	449599
1314	'000757'	浩物股份		346.25①				28.280	1.182	3.640	8.230	545.000							20150331一季报	8.230	31280	机械仪表	346.25①	3.640	8.230						13.85					625495	433232
1315	'000758'	中色股份	27.40	116.10①	8.60%	286606	11.75%	9.648	4.689	126.030	-1.440								20150331一季报	-1.440	90156	采掘业	116.10①	126.030	-1.440		533923			2.37	27.06	-89.65%	-6653	78812	-	2698049	2470279
1316	'000759'	中百集团		40.79①				19.181	4.512	-44.170	-1.150								20150331一季报	-1.150	68058	商业贸易	40.79①	-44.170	-1.150						11.42					777727	777228
1317	'000760'	斯太尔  		-112.13①				12.929	2.806	-1.030	-1.070	523.000							20150331一季报	-1.070	23685	机械仪表	-112.13①	-1.030	-1.070						17.94					989064	424913
1318	'000761'	本钢板材		79.67①				9.615	4.930	-38.160	-1.370	1949.000							20150331一季报	-1.370	273592	金属材料	79.67①	-38.160	-1.370						7.33					2298688	2005433
1319	'000762'	西藏矿业		-125.99①				11.049	3.366	-32.680	123.580	206.000							20150331一季报	123.580	47595	采掘业	-125.99①	-32.680	123.580						19.00					904352	904314
1320	'000766'	通化金马		67.87①				55.436	2.193	-10.110	-6.320	4234.000							20150331一季报	-6.320	44901	生物医药	67.87①	-10.110	-6.320						8.47					485745	380316
1321	'000767'	漳泽电力		89.58①				16.310	2.331	27.260	-13.560	4072.000							20150331一季报	-13.560	157372	供水供电	89.58①	27.260	-13.560						10.75					2422768	1691745
1322	'000768'	中航飞机		-104.31①				5.203	4.422	-30.870	-4.420	2070.000							20150331一季报	-4.420	247762	机械仪表	-104.31①	-30.870	-4.420						31.00					8226887	7680617
1323	'000776'	广发证券		20.43①				60.171	8.583	204.670	131.760	119.000							20150331一季报	131.760	591929	金融保险	20.43①	204.670	131.760						26.99					20569314	15976166
1324	'000777'	中核科技	49.46	243.41①	0.30%	142252	7.51%	27.589	2.849	4.890	-5.790	1097.000							20150331一季报	-5.790	38335	机械仪表	243.41①	4.890	-5.790		142444			0.81	49.44	-3.61%	-161	46353	-	1896383	1896054
1325	'000778'	新兴铸管		158.86①				3.283	4.552	-81.870	-19.930	1410.000							20150331一季报	-19.930	364209	金属材料	158.86①	-81.870	-19.930						8.07					2940149	2939170
1326	'000779'	三毛派神	25.75	-128.75①	0.82%	29573	6.17%	7.576	1.474	13.270	-13.990	4287.000							20150331一季报	-13.990	18644	纺织服装	-128.75①	13.270	-13.990		55700			1.14	25.70	45.84%	1737	7790	-	480086	480086
1327	'000780'	平庄能源		-78.83①				31.972	4.612	-297.220	-14.000	2105.000							20150331一季报	-14.000	101431	采掘业	-78.83①	-297.220	-14.000						9.46					959534	959534
1328	'000782'	美达股份		81.25①				9.191	2.371	298.840	-5.740	2167.000							20150331一季报	-5.740	40451	石油化工	81.25①	298.840	-5.740						22.75					1201518	920258
1329	'000783'	长江证券		27.91①				60.239	3.125	147.580	83.020	106.000							20150331一季报	83.020	474237	金融保险	27.91①	147.580	83.020						17.86					8470048	8469868
1330	'000785'	武汉中商		68.00①				18.579	3.415	-41.110	-0.540								20150331一季报	-0.540	25109	商业贸易	68.00①	-41.110	-0.540						13.60					341662	341487
1331	'000786'	北新建材		82.43①				26.254	10.310	-10.180	-7.590	1536.000							20150331一季报	-7.590	57508	金属材料	82.43①	-10.180	-7.590						37.59					2657578	2161725
1332	'000788'	北大医药		-36.04①				5.613	1.717	-494.650	-13.730	1525.000							20150331一季报	-13.730	55877	生物医药	-36.04①	-494.650	-13.730						20.18					1202703	1127607
1333	'000789'	万年青  		34.24①				20.548	3.987	-43.730	-4.210	1070.000							20150331一季报	-4.210	61335	金属材料	34.24①	-43.730	-4.210						12.90					791240	791221
1334	'000790'	华神集团		456.38①				51.040	1.450	-33.300	-3.030	1094.000							20150331一季报	-3.030	42840	建筑业	456.38①	-33.300	-3.030						17.89					771097	766407
1335	'000791'	甘肃电投		-28.81①				-2.188	4.878	-87.660	-16.710	786.000							20150331一季报	-16.710	11478	石油化工	-28.81①	-87.660	-16.710						20.35					1469591	233573
1336	'000792'	盐湖股份		898.81①				57.681	11.133	-94.800	-20.740	1964.000							20150331一季报	-20.740	107354	石油化工	898.81①	-94.800	-20.740						30.20					4803338	3242076
1337	'000793'	华闻传媒		123.77①				39.277	3.861	-74.010	9.640	1934.000							20150331一季报	9.640	167404	文化传播	123.77①	-74.010	9.640						20.20					4143482	3381571
1338	'000795'	太原刚玉	18.54	463.50	1.31%	42579	8.35%	8.510	2.256	107.720	-12.310	1041.000							20141231年报	-12.310	27679	金属材料	463.50	107.720	-12.310		114307			1.06	18.43	-33.21%	-1595	17030	-	635785	513177
1339	'000796'	易食股份	39.22	296.22①	0.38%	59303	6.01%	48.330	2.241	16.870	0.610	17.000							20150331一季报	0.610	24652	食品饮料	296.22①	16.870	0.610		72606			0.60	40.03	-34.82%	-1059	18295	-	966938	966863
1340	'000797'	中国武夷		92.32①				31.594	2.827	9.030	12.980	1517.000							20150331一季报	12.980	33436	房地产	92.32①	9.030	12.980						25.85					1006735	864324
1341	'000798'	中水渔业		262.23①				7.089	2.648	-7.840	86.400	173.000							20150331一季报	86.400	31945	农牧业	262.23①	-7.840	86.400						14.37					459057	459048
1342	'000799'	*ST酒鬼 	20.77	88.61①	5.01%	54764	11.89%	64.964	5.193	1071.120	98.030	1769.000							20150331一季报	98.030	22420	食品饮料	88.61①	1071.120	98.030		151617			1.36	20.55	100.00%	13834	19156	-	674878	465667
1343	'000800'	一汽轿车		76.45①				20.894	5.458	-48.140	-10.010	1994.000							20150331一季报	-10.010	141175	机械仪表	76.45①	-48.140	-10.010						25.87					4210343	3652208
1344	'000801'	四川九洲		443.36①				21.423	5.434	-22.150	-13.810	1517.000							20150331一季报	-13.810	45989	电子	443.36①	-22.150	-13.810						37.42					1913671	1720891
1345	'000802'	北京文化		-1680.85①				63.481	2.355	-235.400	5.230	189.000							20150331一季报	5.230	37483	社会服务	-1680.85①	-235.400	5.230						31.60					1227977	1184478
1346	'000803'	金宇车城	38.05	-951.25①	0.13%	12249	3.53%	23.895	1.171	61.980	5.780	2131.000							20150331一季报	5.780	9027	房地产	-951.25①	61.980	5.780		14585			0.87	38.47	62.82%	669	2817	-	486016	343475
1347	'000806'	银河投资		145.29①				19.802	1.809	228.930	43.040	7.000							20150331一季报	43.040	69845	机械仪表	145.29①	228.930	43.040						22.20					2441804	1550555
1348	'000807'	云铝股份	10.41	-52.05①	5.47%	139621	8.73%	8.444	2.179	56.170	-27.610	192.000							20150331一季报	-27.610	153908	金属材料	-52.05①	56.170	-27.610		751176			2.14	10.39	-17.20%	-4086	66859	-	1602279	1602186
1349	'000809'	铁岭新城		-238.85①				-46.636	6.314	76.230	72.160	1392.000							20150331一季报	72.160	54986	社会服务	-238.85①	76.230	72.160						12.42					682927	682927
1350	'000810'	创维数字		123.99①				23.611	1.961	-8.180	4.390	476.000							20150331一季报	4.390	25933	纺织服装	123.99①	-8.180	4.390						34.42					3436848	892619
1351	'000811'	烟台冰轮		67.94①				24.284	4.160	148.570	17.430	552.000							20150331一季报	17.430	39459	机械仪表	67.94①	148.570	17.430						24.46					965185	965165
1352	'000812'	陕西金叶		229.27①				38.336	1.942	-57.710	-34.430	229.000							20150331一季报	-34.430	44625	造纸印刷	229.27①	-57.710	-34.430						14.49					648247	646616
1353	'000813'	天山纺织		255.68①				34.949	2.272	-27.610	78.000	1146.000							20150331一季报	78.000	36345	纺织服装	255.68①	-27.610	78.000						11.25					525932	408882
1354	'000815'	*ST美利 		-47.34①				4.965	-0.734	-50.040	-7.520	158.000							20150331一季报	-7.520	31678	造纸印刷	-47.34①	-50.040	-7.520						37.87					1199722	1199646
1355	'000816'	智慧农业	16.49	317.12①	10.01%	120350	6.74%	15.718	2.344	-10.410	-7.060								20150331一季报	-7.060	108878	机械仪表	317.12①	-10.410	-7.060		279378			0.86	16.41	100.00%	93421	29913	-	2339607	1795394
1356	'000818'	方大化工		64.07①				15.389	2.942	19.580	-5.910	2.000							20150331一季报	-5.910	68000	石油化工	64.07①	19.580	-5.910						7.15					486200	486200
1357	'000819'	岳阳兴长		312.65①				9.711	2.775	45.550	19.410	34.000							20150331一季报	19.410	23437	石油化工	312.65①	45.550	19.410						63.78					1494953	1494843
1358	'000820'	金城股份		-1413.33①				17.431	0.794	-455.180	-12.410	99.000							20150331一季报	-12.410	22088	造纸印刷	-1413.33①	-455.180	-12.410						16.96					488168	374608
1359	'000821'	京山轻机		80.50①				26.606	3.197	770.230	-12.160	220.000							20150331一季报	-12.160	34522	机械仪表	80.50①	770.230	-12.160						22.54					778168	778125
1360	'000822'	山东海化		29.29①				21.958	2.471	518.840	-29.950								20150331一季报	-29.950	89508	石油化工	29.29①	518.840	-29.950						8.20					733975	733968
1361	'000823'	超声电子		68.38①				18.289	5.309	-26.310	2.380	1112.000							20150331一季报	2.380	53687	电子	68.38①	-26.310	2.380						13.95					749068	748938
1362	'000825'	太钢不锈		633.33①				9.032	4.390	-88.800	-15.270	3791.000							20150331一季报	-15.270	569598	金属材料	633.33①	-88.800	-15.270						7.60					4329148	4328947
1363	'000826'	桑德环境	53.25	69.70①	0.99%	98668	2.21%	33.754	6.375	25.230	50.500	36.000							20150331一季报	50.500	84196	社会服务	69.70①	25.230	50.500		88200			1.02	53.08	-55.17%	-2109	26576	-	4506236	4483429
1364	'000828'	东莞控股		20.51①				69.503	4.035	46.070	12.610	40.000							20150331一季报	12.610	103952	交通仓储	20.51①	46.070	12.610						13.66					1419980	1419980
1365	'000829'	天音控股		241.00①				4.100	2.347	-97.360	42.990	1928.000							20150331一季报	42.990	94679	商业贸易	241.00①	-97.360	42.990						19.28					1825625	1825415
1366	'000830'	鲁西化工		27.36①				14.819	4.151	23.570	16.400								20150331一季报	16.400	146398	石油化工	27.36①	23.570	16.400						7.66					1122083	1121409
1367	'000831'	五矿稀土		2866.67①				14.941	2.539	1258.380	373.980	551.000							20150331一季报	373.980	74522	金属材料	2866.67①	1258.380	373.980						34.40					3374258	2563553
1368	'000833'	贵糖股份		322.77①				10.932	2.878	155.860	25.550	185.000							20150331一季报	25.550	29607	造纸印刷	322.77①	155.860	25.550						14.46					428114	428111
1369	'000835'	长城动漫		-446.30①				12.815	1.360	-133.990	-44.790	53.000							20150331一季报	-44.790	30537	石油化工	-446.30①	-133.990	-44.790						20.53					626925	626925
1370	'000836'	鑫茂科技		-64.75①				6.325	3.626	24.760	136.510	1477.000							20150331一季报	136.510	29249	信息技术	-64.75①	24.760	136.510						19.32					778245	565090
1371	'000837'	秦川机床		-120.61①				13.660	4.319	-202.240	-34.130	451.000							20150331一季报	-34.130	25557	机械仪表	-120.61①	-202.240	-34.130						15.10					1046990	385910
1372	'000838'	国兴地产		-151.99①				46.123	2.082	-131.560	-92.950	10.000							20150331一季报	-92.950	18100	房地产	-151.99①	-131.560	-92.950						29.00					524899	524899
1373	'000839'	中信国安		106.29①				8.662	4.280	64.490	1.840	2177.000							20150331一季报	1.840	156760	综合类	106.29①	64.490	1.840						19.60					3073144	3072502
1374	'000848'	承德露露	23.88	19.57①	6.70%	98925	5.65%	44.202	1.917	-4.050	-3.150	2102.000							20150331一季报	-3.150	75246	食品饮料	19.57①	-4.050	-3.150		200315			1.36	23.29	26.14%	1070	26726	-	1797544	1796879
1375	'000850'	华茂股份		32.29①				3.339	4.041	361.750	8.380	1680.000							20150331一季报	8.380	94320	纺织服装	32.29①	361.750	8.380						10.98					1036144	1035634
1376	'000851'	高鸿股份		-464.10①				7.239	4.314	21.550	11.050	398.000							20150331一季报	11.050	48481	信息技术	-464.10①	21.550	11.050						17.45					1031931	845990
1377	'000852'	江钻股份		-140.55①				18.222	2.920	-2003.190	-25.680	169.000							20150331一季报	-25.680	13012	机械仪表	-140.55①	-2003.190	-25.680						28.11					1125524	365773
1378	'000856'	冀东装备		-29.13①				3.795	1.800	-477.640	42.450	1970.000							20150331一季报	42.450	13207	机械仪表	-29.13①	-477.640	42.450						13.98					317346	184635
1379	'000858'	五 粮 液	28.09	12.11①	2.03%	250968	2.36%	69.478	10.967	-15.970	0.230	2177.000							20150331一季报	0.230	379562	食品饮料	12.11①	-15.970	0.230		451050			1.22	27.97	25.57%	3481	60642	-	10662871	10661899
1380	'000859'	国风塑业		-259.48①				6.405	1.867	-349.580	-19.070								20150331一季报	-19.070	73945	石油化工	-259.48①	-349.580	-19.070						12.04					890298	890296
1381	'000860'	顺鑫农业	28.10	20.88①	7.05%	73838	6.15%	42.855	9.138	6.200	0.870	30.000							20150331一季报	0.870	43852	食品饮料	20.88①	6.200	0.870		144109			1.78	27.38	-29.04%	-361	20865	-	1603358	1232255
1382	'000861'	海印股份		105.81①				38.902	2.516	-14.280	-19.450	2005.000							20150331一季报	-19.450	83776	房地产	105.81①	-14.280	-19.450						16.93					2004747	1418319
1383	'000862'	银星能源		-285.00①				36.621	3.110	-56.200	-4.820	1819.000							20150331一季报	-4.820	28307	机械仪表	-285.00①	-56.200	-4.820						11.40					617462	322698
1384	'000863'	三湘股份		-26.86①				45.600	3.142	-486.030	-52.020	601.000							20150331一季报	-52.020	17462	房地产	-26.86①	-486.030	-52.020						7.52					698218	131314
1385	'000868'	安凯客车		356.50①				-8.754	1.784	-17.690	-25.580	211.000							20150331一季报	-25.580	69556	机械仪表	356.50①	-17.690	-25.580						14.26					991877	991871
1386	'000869'	张  裕Ａ	53.00	17.21①	1.90%	33241	1.39%	66.996	10.745	15.900	20.990	2164.000							20150331一季报	20.990	45346	食品饮料	17.21①	15.900	20.990		30933			1.28	52.86	13.04%	21	11284	-	3632959	2403342
1387	'000875'	吉电股份		46.94①				24.690	2.636	74.910	6.070	2.000							20150331一季报	6.070	111557	供水供电	46.94①	74.910	6.070						15.02					2193840	1675584
1388	'000876'	新 希 望		24.00①				7.211	8.695	81.980	-10.620	1122.000							20150331一季报	-10.620	172831	食品饮料	24.00①	81.980	-10.620						24.00					5001882	4147939
1389	'000877'	天山股份		-12.35①				5.263	7.795	-55.430	-25.770	2004.000							20150331一季报	-25.770	88002	金属材料	-12.35①	-55.430	-25.770						13.34					1174055	1173947
1390	'000878'	云南铜业		436.25①				2.746	3.766	-11.900	2.190	1347.000							20150331一季报	2.190	141639	金属材料	436.25①	-11.900	2.190						17.45					2471616	2471604
1391	'000880'	潍柴重机		127.63①				10.821	4.576	-44.680	-9.160	1361.000							20150331一季报	-9.160	13514	机械仪表	127.63①	-44.680	-9.160						20.42					563797	275946
1392	'000881'	大连国际		65.75①				13.080	5.347	-42.320	41.380	1959.000							20150331一季报	41.380	30796	交通仓储	65.75①	-42.320	41.380						13.15					406228	404973
1393	'000882'	华联股份		297.32①				50.199	2.681	76.570	18.610	1547.000							20150331一季报	18.610	188469	商业贸易	297.32①	76.570	18.610						6.66					1482574	1255201
1394	'000883'	湖北能源		34.04①				35.322	2.804	880.450	-6.450	13.000							20150331一季报	-6.450	534607	供水供电	34.04①	880.450	-6.450						12.39					6627101	6623784
1395	'000885'	同力水泥		3340.00①				17.572	4.570	-27.280	-21.020	8.000							20150331一季报	-21.020	42680	金属材料	3340.00①	-27.280	-21.020						13.36					634332	570204
1396	'000886'	海南高速		77.17①				66.765	2.794	-8.510	23.040	1977.000							20150331一季报	23.040	96462	房地产	77.17①	-8.510	23.040						7.10					702068	684880
1397	'000887'	中鼎股份		44.48①				30.789	2.747	32.930	35.610	37.000							20150331一季报	35.610	111378	石油化工	44.48①	32.930	35.610						28.47					3175809	3170923
1398	'000888'	峨眉山Ａ		1836.22①				27.248	3.262	-73.660	13.070	2184.000							20150331一季报	13.070	52682	社会服务	1836.22①	-73.660	13.070						35.99					1896360	1896020
1399	'000889'	茂业物流		61.31①				20.783	3.458	10.190	14.240	20.000							20150331一季报	14.240	33853	商业贸易	61.31①	10.190	14.240						17.24					1072029	583620
1400	'000890'	法 尔 胜		627.66①				11.800	2.748	6.600	5.570	515.000							20150331一季报	5.570	37956	金属材料	627.66①	6.600	5.570						11.80					447977	447877
1401	'000892'	*ST星美 		-3144.44①					0.0063	51.180		91.000							20150331一季报		30694	信息技术	-3144.44①	51.180							11.32					468509	347453
1402	'000893'	东凌粮油		-64.89①				0.791	1.173	85.540	-10.180	49.000							20150331一季报	-10.180	39212	食品饮料	-64.89①	85.540	-10.180						18.17					743980	712475
1403	'000895'	双汇发展		23.48①				20.838	4.044	-14.550	-3.040	1055.000							20150331一季报	-3.040	181744	食品饮料	23.48①	-14.550	-3.040						26.20					8648274	4761680
1404	'000897'	津滨发展		-90.42①				10.938	0.862	-172.590	-70.310	389.000							20150331一季报	-70.310	161712	房地产	-90.42①	-172.590	-70.310						8.21					1327781	1327656
1405	'000898'	鞍钢股份		609.17①				12.426	6.667	-93.360	-18.690								20150331一季报	-18.690	614893	金属材料	609.17①	-93.360	-18.690						7.31					5288645	4494871
1406	'000899'	赣能股份		12.73①				34.329	3.434	59.650	-4.080	39.000							20150331一季报	-4.080	55518	供水供电	12.73①	59.650	-4.080						12.50					808347	693977
1407	'000900'	现代投资		29.14①				24.621	6.509	0.480	157.280	2118.000							20150331一季报	157.280	101125	交通仓储	29.14①	0.480	157.280						10.49					1061468	1060802
1408	'000901'	航天科技		-1342.25①				19.747	4.126	-127.950	8.640								20150331一季报	8.640	32362	机械仪表	-1342.25①	-127.950	8.640						53.69					1737538	1737538
1409	'000902'	新洋丰  		25.05①				19.633	6.275	46.630	23.410	523.000							20150331一季报	23.410	25800	纺织服装	25.05①	46.630	23.410						26.99					1755658	696342
1410	'000903'	云内动力		27.06①				22.731	4.514	14.340	20.540	2134.000							20150331一季报	20.540	68076	机械仪表	27.06①	14.340	20.540						9.74					778240	663060
1411	'000905'	厦门港务		71.89①				5.101	4.810	10.700	-1.300	1730.000							20150331一季报	-1.300	53100	交通仓储	71.89①	10.700	-1.300						20.13					1068903	1068903
1412	'000906'	物产中拓		99.54①				3.115	3.299	8.180	-6.140	232.000							20150331一季报	-6.140	33061	商业贸易	99.54①	8.180	-6.140						27.87					921399	921399
1413	'000908'	景峰医药		99.25①				79.436	2.364	17.950	21.880	1251.000							20150331一季报	21.880	24678	机械仪表	99.25①	17.950	21.880						19.85					1587593	489863
1414	'000909'	数源科技		512.50①				-1.543	2.455	-27.940	10.360	1.000							20150331一季报	10.360	29400	房地产	512.50①	-27.940	10.360						20.50					602700	602700
1415	'000910'	大亚科技		83.78①				28.436	5.002	14.960	3.830	8.000							20150331一季报	3.830	52750	木材家具	83.78①	14.960	3.830						15.08					795470	795470
1416	'000911'	南宁糖业		62.86①				13.934	3.795	135.690	42.560	2131.000							20150331一季报	42.560	28664	食品饮料	62.86①	135.690	42.560						17.60					504486	504486
1417	'000912'	*ST天化 		-29.04①				3.755	1.217	48.400	54.810	3049.000							20150331一季报	54.810	58500	石油化工	-29.04①	48.400	54.810						8.48					496080	496080
1418	'000913'	钱江摩托		329.75①				18.697	4.680	18.680	-22.080	2189.000							20150331一季报	-22.080	45344	机械仪表	329.75①	18.680	-22.080						13.19					598214	598083
1419	'000915'	山大华特		57.29①				67.543	5.504	-12.450	-18.330								20150331一季报	-18.330	17930	生物医药	57.29①	-12.450	-18.330						55.00					991402	986159
1420	'000916'	华北高速		35.44①				50.695	4.020	40.920	38.110	3637.000							20150331一季报	38.110	108997	交通仓储	35.44①	40.920	38.110						8.93					973370	973347
1421	'000917'	电广传媒		109.56①				38.658	7.017	-34.030	1.370								20150331一季报	1.370	106191	文化传播	109.56①	-34.030	1.370						39.44					5590843	4188182
1422	'000918'	嘉凯城  		-22.06①				19.386	2.317	6.680	0.240	1463.000							20150331一季报	0.240	180419	房地产	-22.06①	6.680	0.240						7.06					1273759	1273759
1423	'000919'	金陵药业		54.56①				23.136	4.718	40.060	12.100								20150331一季报	12.100	27529	生物医药	54.56①	40.060	12.100						24.79					1249416	682441
1424	'000920'	南方汇通		139.86①				40.635	2.268	674.690	-49.810	113.000							20150331一季报	-49.810	42200	机械仪表	139.86①	674.690	-49.810						30.21					1274862	1274862
1425	'000921'	海信科龙	14.88	21.88①	3.84%	52696	3.97%	20.276	2.690	-0.950	0.510	1819.000							20150331一季报	0.510	89820	机械仪表	21.88①	-0.950	0.510		190587			1.48	14.79	-81.87%	-3035	19463	-	2021442	1336515
1426	'000922'	佳电股份		-114.00①				12.156	3.844	-168.760	-46.750	191.000							20150331一季报	-46.750	29844	机械仪表	-114.00①	-168.760	-46.750						22.80					1358576	680432
1427	'000923'	河北宣工		-42.79①				-10.028	2.205	-2854.220	-73.300	301.000							20150331一季报	-73.300	19800	机械仪表	-42.79①	-2854.220	-73.300						23.09					457182	457180
1428	'000925'	众合科技		2233.33①				20.714	3.638	126.700	9.820								20150331一季报	9.820	30134	机械仪表	2233.33①	126.700	9.820						26.80					876102	807586
1429	'000926'	福星股份		14.90①				26.208	9.837	1.310	-2.220								20150331一季报	-2.220	53022	房地产	14.90①	1.310	-2.220						12.52					891869	663833
1430	'000927'	*ST夏利 		-15.31①				-5.015	0.790	-27.360	29.750								20150331一季报	29.750	159517	机械仪表	-15.31①	-27.360	29.750						9.87					1574437	1574434
1431	'000928'	中钢国际		53.90①				11.059	3.813	730.550	-27.760	8.000							20150331一季报	-27.760	28290	金属材料	53.90①	730.550	-27.760						27.25					1750982	770900
1432	'000929'	兰州黄河		12.32①				41.739	4.058	2872.160	-3.660								20150331一季报	-3.660	18559	食品饮料	12.32①	2872.160	-3.660						18.14					336980	336657
1433	'000930'	中粮生化		-18.17①				-3.226	2.784	-1167.260	-12.560								20150331一季报	-12.560	96441	食品饮料	-18.17①	-1167.260	-12.560						13.81					1331852	1331852
